1,name,source,type,description
779,Luba's Tarokka of Souls,9,"Wondrous item, artifact (requires attunement)","Not all lingering spirits are tragic souls, lost on their way to the hereafter. Some languish as prisoners, souls so wicked mortals dare not free them upon an unsuspecting afterlife.|||Created by a figure of Vistani legend, Luba's Tarokka of Souls shaped the destiny of countless heroes. The prophecies of this deck of cards also revealed great evils and guided its creator into the path of nefarious forces. Untold times the deck's creator, Mother Luba, narrowly escaped doom, spared only by her keen insights. But even for her not all wickedness could be escaped. In the most dire cases, Mother Luba managed to ensnare beings of pure evil amid the strands of fate, imprisoning them within her tarroka deck. There these foul spirits dwell still, trapped within a nether-realm hidden amid shuffling cards, waiting for fate to turn foul — as it inevitably will.|||Like all tarokka decks, the Tarokka of Souls is a lavishly illustrated collection of fifty-four cards, comprising the fourteen cards of the high deck and forty other cards divided into four suits: coins, glyphs, stars, and swords.|||Random Properties. The artifact has the following random properties, which you can determine by rolling on the tables in the ""Artifacts"" section of the Dungeon Master's Guide:|||Spells. While holding the deck, you can use an action to cast one of the following spells (save DC 18) from it: Comprehend Languages, Detect Evil and Good, Detect Magic, Detect Poison and Disease, Locate Object, or Scrying. Once you use the deck to cast a spell, you can't cast that spell again from it until the next dawn.|||Enduring Vision. While holding the deck, you automatically succeed on Constitution saving throws made to maintain your concentration on divination spells.|||Twist of Fate. As an action, you can draw a card from the deck and twist the fortune of another creature you can see within 15 feet of you. Choose one of the following effects:|||The deck can be used in this way twice, and you regain all expended uses at the next dawn.|||Prisoners of Fate. Whenever you use the Twist of Fate property, there is a chance that one of the souls trapped in the deck escapes. Roll d100 and consult the Souls of the Tarokka table. If you roll one of the high cards, the soul associated with it escapes. You can find its statistics in the Monster Manual. If you roll a soul that has already escaped, roll again.|||The released soul appears at a random location within 10d10 miles of you and terrorizes the living. Until the released soul is destroyed, it gains the benefit of a weal from the deck's Twist of Fate property, and both you and the original target of Twist of Fate suffer the effect of woe.|||Shuffling Fate. If you go 7 days without using the Twist of Fate property, your attunement to Luba's Tarroka of Souls ends, and you can't attune to it again until after another creature uses Twist of Fate on you.|||Destroying the Deck. Luba's Tarokka of Souls can be destroyed only if all fourteen souls within are released and destroyed. This reveals a fifteenth soul, a lich, that inhabits the Nether card, which appears only when the fourteen souls are defeated. If this ancient entity is destroyed, the Nether card vanishes and the deck becomes a normal tarokka deck, with no special properties, but it includes a new card of the DM's design.||||||Souls of the Tarokka|||d100,Card,Soul|||1,Artifact,Flameskull|||2,Beast,Wraith|||3,Broken One,Banshee|||4,Darklord,Vampire|||5,Donjon,Mummy|||6,Executioner,Death knight|||7,Ghost,Ghost|||8,Horseman,Mummy lord|||9,Innocent,Ghost|||10,Marionette,Mummy|||11,Mists,Wraith|||12,Raven,Vampire spawn|||13,Seer,Vampire|||14,Tempter,Vampire spawn|||15-00,—,—|||"
780,Mace of the Black Crown,18,"Weapon (mace), artifact (requires attunement)","This mace has a haft of black iron and a ruby head with a fiendish countenance. Carrying the boon of Asmodeus, it is fit for the most powerful servants of the Nine Hells.|||Sentience. The Mace of the Black Crown is a sentient lawful evil weapon with an Intelligence of 20, a Wisdom of 12, and a Charisma of 18. It has hearing and darkvision out to a range of 120 feet.|||The weapon communicates telepathically with its wielder and can speak, read, and understand Common and Infernal.|||Personality. A greedy erinyes named Xartaza lives within the Mace of the Black Crown. Xartaza wants to recruit more souls for Asmodeus, so the weapon pushes its wielder toward lawful evil actions by manipulating the wielder's dreams. A former Blood War general, Xartaza hates demons and relishes crafting sound battle plans in any conflict.|||Dormant. The mace grants the following benefits in its dormant state:|||Awakened. When the mace reaches an awakened state, it gains the following properties:|||Exalted. When the mace reaches an exalted state, it gains the following properties:"
781,"Mastix, Whip of Erebos",19,"Weapon (whip), artifact (requires attunement)","Erebos wields Mastix, a whip capable of extending like an impossibly long shadow. In the hands of the god of the dead, the whip snares the reluctant dead and drags them into his realm. When Erebos grants his weapon to a mortal follower, it's typically to reclaim a powerful soul or to humiliate Heliod.|||Whip of the Dead. Erebos's whip seethes with the enervating energy of the Underworld. This magic whip grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using this whip, the target takes an extra 2d8 necrotic damage and you regain hit points equal to half the amount of necrotic damage dealt.|||Additionally, when you make an attack with the whip on your turn, you can increase the range of the attack to 300 feet. This property of the weapon can't be used again until the next dusk.|||Blessing of the Dead. If you are a worshiper of Erebos, you gain all the following benefits for which you have the required piety:|||If you aren't a worshiper of Erebos, the whip has 2 randomly determined major detrimental properties.|||See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties.|||Erebos's Claim. While carrying the whip, you can use an action to cast either Circle of Death or Dominate Monster (targeting only undead) from the whip. The save DC for these spells is 18. Once you use the whip to cast a spell, that spell can't be cast from it again until the next dusk.|||Destroying the Whip. To destroy the whip, it must be taken to the heights of Mount Hiastos in Nyx, unraveled by a Returned, and left to bask in continual daylight for one month."
782,Mighty Servant of Leuk-o,9,"Wondrous item, artifact (requires attunement)","Named for the warlord who infamously employed it, the Mighty Servant of Leuk-o is a fantastically powerful, 10-foot-tall machine that turns into an animate construct when piloted. Crafted of a gleaming black alloy of unknown origin, the servant is often described as a combination of a disproportioned dwarf and an oversized beetle. The servant contains enough space for 1 ton of cargo and a crew compartment within, from which up to two Medium creatures can control it — and potentially execute a spree of unstoppable destruction.|||Tales of the servant's origins involve more conjecture than fact, often referring to otherworldly beings, the mysterious Barrier Peaks in Oerth, and the supposedly related device known as the Machine of Lum the Mad. The best details on the device's origins and operation can be found in the Mind of Metal, a tome of artificer's secrets that connects the device to the traditions of the lost Olman people, and which was written by Lum the Mad's several times over granddaughter, Lum the Maestro, while she reconstructed the long disassembled Mighty Servant of Leuk-o.|||Dangerous Attunement. Two creatures can be attuned to the servant at a time. If a third creature tries to attune to it, nothing happens.|||The servant's controls are accessed by a hatch in its upper back, which is easily opened while there are no creatures attuned to the artifact.|||Attuning to the artifact requires two hours, which can be undertaken as part of a long rest, during which time you must be inside the servant, interacting with its controls. While crew members are attuning themselves, any creature or structure outside and within 50 feet of the servant has a 25 percent chance of being accidentally targeted by one of its Destructive Fist attacks once during the attunement. This process must be undergone every time a creature attunes itself to the artifact.|||Controlling the Servant. While any creatures are attuned to the artifact, attuned creatures can open the hatch as easily as any other door. Other creatures can open the hatch as an action with a successful DC 25 Dexterity check using thieves' tools. A Knock spell cast on the hatch also opens it until the start of the caster's next turn.|||A creature can enter or exit through the hatch by spending 10 feet of movement. Those inside the servant have total cover from effects originating outside it. The controls within it allow creatures to see outside without obstruction.|||While you are inside the servant, you can command it by using the controls. During your turn (for either attuned creature), you can command it in the following ways:|||While there are no attuned creatures inside the servant, it is an inert object.|||Ghost in the Machine. Upon his death, the soul of the mighty warlord Leuk-o was drawn into the artifact and has become its animating force. The servant has been known to attack or move of its own accord, particularly if doing so will cause destruction. Once every 24 hours, the servant, at the DM's discretion, takes one action while uncrewed.|||If the servant loses half of its hit points or more, each creature attuned to it must succeed on a DC 20 Wisdom saving throw or be charmed for 24 hours. While charmed in this way, the creature goes on a destructive spree, seeking to destroy structures and attack any unattuned creatures within sight of the servant, starting with those threatening the artifact — preferably using the servant, if possible.|||Self-Destruct. By inputting a specific series of lever pulls and button presses, the servant's two crew members can cause it to explode. The self-destruct code is not revealed to crew members when they attune to the artifact. If the code is discovered (the DM determines how), it requires two attuned crew members to be inside the servant and spend their actions on 3 consecutive rounds performing the command. Should the crew members begin the process of entering the code, though, the servant uses its Ghost in the Machine property and turns the crew members against each other.|||If the crew members successfully implement the code, at the end of the third round, the servant explodes. Every creature in a 100 foot-radius sphere centered on the servant must make a DC 25 Dexterity saving throw. On a failed save, a creature takes 87 (25d6) force damage, 87 (25d6) lightning damage, and 87 (25d6) thunder damage. On a successful save, a creature takes half as much damage. Objects and structures in the area take triple damage. Creatures inside the servant are slain instantly and leave behind no remains.|||This does not destroy the servant permanently. Rather, 2d6 days later, its parts — left arm, left leg, right arm, right leg, lower torso, and upper torso — drop from the sky in random places within 1,000 miles of the explosion. If brought within 5 feet of one another, the pieces reconnect and reform the servant.|||Destroying the Servant. The servant can be destroyed in two ways. After it has self-destructed, its disconnected pieces can be melted down in one of the forge-temples of its ancient Olman creators. Alternatively, if the servant strikes the Machine of Lum the Mad, both artifacts explode in an eruption that is three times the size and three times the damage as the servant's Self-Destruct property.||||||Mighty Servant of Leuk-o|||Huge Construct|||Armor Class 22 (natural armor)|||Hit Points 310 (27d12 + 135)|||Speed 60 ft.|||STR,DEX,CON,INT,WIS,CHA|||30 (+10),14 (+2),20 (+5),1 (-5),14 (+2),10 (+0)|||Saving Throws: Wis +9, Cha +7|||Skills: Perception +9|||Damage Resistances: piercing, slashing|||Damage Immunities: acid, bludgeoning, cold, fire, lightning, necrotic, poison, psychic, radiant|||Condition Immunities: all conditions but invisible and prone|||Senses: blindsight 120 ft., passive Perception 19|||Languages: understands the languages of creatures attuned to it but can't speak|||Challenge: —|||Proficiency Bonus: +7|||Immutable Existence. The servant is immune to any spell or effect that would alter its form or send it to another plane of existence.|||Magic Resistant Construction. The servant has advantage on saving throws against spells and other magical effects, and spell attacks made against it have disadvantage.|||Regeneration. The servant regains 10 hit points at the start of its turn. If it is reduced to 0 hit points, this trait doesn't function until an attuned creature spends 24 hours repairing the artifact or until the artifact is subjected to lightning damage.|||Standing Leap. The servant's long jump is up to 50 feet and its high jump is up to 25 feet, with or without a running start.|||Unusual Nature. The servant doesn't require air, food, drink, or sleep.|||Actions|||Destructive Fist. Melee or Ranged Weapon Attack: +17 to hit, reach 10 ft. or range 120 ft., one target. Hit: 36 (4d12 + 10) force damage. If the target is an object, it takes triple damage.|||Crushing Leap. If the servant jumps at least 25 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures is pushed to an unoccupied space within 5 feet of the servant and must make a DC 25 Dexterity saving throw. On a failed save, a creature takes 26 (4d12) bludgeoning damage and is knocked prone. On a successful save, a creature takes half as much damage and isn't knocked prone.|||"
783,Orb of Dragonkind,4,"Wondrous item, artifact (requires attunement)","Ages past, on the world of Krynn, elves and humans waged a terrible war against evil dragons. When the world seemed doomed, the wizards of the Towers of High Sorcery came together and worked their greatest magic, forging five Orbs of Dragonkind (or Dragon Orbs) to help them defeat the dragons. One orb was taken to each of the five towers, and there they were used to speed the war toward a victorious end. The wizards used the orbs to lure dragons to them, then destroyed the dragons with powerful magic.|||As the Towers of High Sorcery fell in later ages, the orbs were destroyed or faded into legend, and only three are thought to survive. Their magic has been warped and twisted over the centuries, so although their primary purpose of calling dragons still functions, they also allow some measure of control over dragons.|||Each orb contains the essence of an evil dragon, a presence that resents any attempt to coax magic from it. Those lacking in force of personality might find themselves enslaved to an orb.|||An orb is an etched crystal globe about 10 inches in diameter. When used, it grows to about 20 inches in diameter, and mist swirls inside it.|||While attuned to an orb, you can use an action to peer into the orb's depths and speak its command word. You must then make a DC 15 Charisma check. On a successful check, you control the orb for as long as you remain attuned to it. On a failed check, you become charmed by the orb for as long as you remain attuned to it.|||While you are charmed by the orb, you can't voluntarily end your attunement to it, and the orb casts Suggestion on you at will (save DC 18), urging you to work toward the evil ends it desires. The dragon essence within the orb might want many things: the annihilation of a particular people, freedom from the orb, to spread suffering in the world, to advance the worship of Takhisis (Tiamat's name on Krynn), or something else the DM decides.|||Random Properties. An Orb of Dragon kind has the following random properties:|||Spells. The orb has 7 charges and regains 1d4 + 3 expended charges daily at dawn. If you control the orb, you can use an action and expend 1 or more charges to cast one of the following spells (save DC 18) from it: Cure Wounds (5th-level version, 3 charges), Daylight (1 charge), Death Ward (2 charges), or Scrying (3 charges).|||You can also use an action to cast the Detect Magic spell from the orb without using any charges.|||Call Dragons. While you control the orb, you can use an action to cause the artifact to issue a telepathic call that extends in all directions for 40 miles. Evil dragons in range feel compelled to come to the orb as soon as possible by the most direct route. Dragon deities such as Tiamat are unaffected by this call. Dragons drawn to the orb might be hostile toward you for compelling them against their will. Once you have used this property, it can't be used again for 1 hour.|||Destroying an Orb. An Orb of Dragonkind appears fragile but is impervious to most damage, including the attacks and breath weapons of dragons. A disintegrate spell or one good hit from a +3 magic weapon is sufficient to destroy an orb, however."
784,Orrery Of The Wanderer,16,"Wondrous item, artifact (requires attunement)","This delicate and exquisitely crafted clockwork orrery features multiple geared components whose sweeping hands and dials represent the complex interplay of planar and magical realms. Standing two feet high, the orrery housing is a wondrous device imbued with magic of its own, but the power of its six clockwork components makes the artifact even more potent.|||The Orrery of the Wanderer was created by a renowned clockwork mage known only as Lottie. She crafted the relic as a means of tapping into the power of the planes, and to channel the divination and foretelling powers of the stars. But Lottie soon realized that her creation was far more powerful than she had intended. As it tapped into planar magic, the orrery began to manifest the darkness and malevolence inherent to some of the planes. Eventually, it would impress upon its owner a desire to open portals into the most cursed and dangerous worlds, including the Far Realm.|||To prevent the orrery from ever being so used, Lottie scattered the components that powered it, secreting them across the world. But the orrery's instinct for survival is strong, and its components have a way of inexorably coming together over decades or centuries, found by treasure hunters, stolen by monsters, found and stolen again - and moving closer to each other all the time.|||Random Properties. The orrery has the following randomly determined properties:|||The random properties of the orrery might function only when all its components are installed, or might function sporadically if any components are missing.|||The Sum of Its Parts. Each of the six components that powers the Orrery of the Wanderer is a powerful magic relic in its own right:|||Creatures can attune to the orrery's components individually. If attuned to an individual component, a creature must hold the component to make use of its features. A creature can also attune to the orrery and all the components installed in it. Attuning to an installed component doesn't count against the number of magic items you can normally attune to.|||While a component is not installed in the orrery, its magic might function sporadically or with unpredictable side effects, as determined by the DM.|||Future Echoes. With or without its components, the orrery lets you catch momentary glimpses of the future that warn you of danger. As long as the orrery is within 30 feet of you, you gain a +1 bonus to AC.|||Into the Void. With or without its components, the attuned orrery infuses your spirit with the tumultuous energy of the planes. Over time, your alignment changes to chaotic neutral, and you are compelled to engage with and explore the most dangerous planar realms.|||Master of Travel. While all six components of the Orrery of the Wanderer are installed, the artifact has 7 charges. While touching the orrery, you can use an action and expend 1 or more charges to cast one of the following spells (save DC 17): Contact Other Plane (3 charges), Demiplane (6 charges), Gate (7 charges), Plane Shift (5 charges), or Teleportation Circle (3 charges). The orrery regains 1d4 + 4 expended charges daily at dawn."
785,Ring of Winter,31,"Ring, artifact (requires attunement)","The Ring of Winter is a golden band that resizes to fit snugly on the finger of its wearer. A thin layer of frost coats the outside of the ring, which normal heat can't melt. The ring feels ice cold to the touch and initially numbs the hand that wears it, but this cold ceases to be felt by one who is attuned to the ring.|||The Ring of Winter is sentient and tries to take control of any creature that wears it (see ""Sentient Magic Items"" in chapter 7 of the Dungeon Master's Guide). If it succeeds, the ring compels its wearer to cause undue harm to everyone and everything around it, in a cold-hearted attempt to incur the wrath of enemies and bring about the wearer's doom.|||Sentience. The Ring of Winter is a sentient chaotic evil item with an Intelligence of 14, a Wisdom of 14, and a Charisma of 17. The ring communicates by transmitting emotion to the creature carrying or wielding it, and it has hearing and normal vision out to a range of 60 feet. The ring craves destruction, and it likes inflicting indiscriminate harm on others.|||Nondetection. The Ring of Winter defies attempts to magically locate it. Neither the ring nor its wearer can be targeted by any divination magic or perceived through magical scrying sensors.|||Frozen Time. As long as you wear the ring, you don't age naturally. This effect is similar to suspended animation, in that your age doesn't catch up to you once the ring is removed. The ring doesn't protect its wearer from magical or supernatural aging effects, such as the Horrifying Visage of a ghost.|||Cold Immunity. While attuned to and wearing the ring, you have immunity to cold damage and don't suffer any ill effects from extreme cold (see chapter 5 of the Dungeon Master's Guide).|||Magic. The Ring of Winter has 12 charges and regains all its expended charges daily at dawn. While wearing the ring, you can expend the necessary number of charges to activate one of the following properties:|||Other Properties. The Ring of Winter is rumored to possess other properties that can be activated only by an evil being whose will the ring can't break. Frost giants have long believed that the ring can be used to freeze entire worlds, while a djinni in the service of a Calishite pasha once claimed that the ring could be used to summon and control white dragons, as well as a mighty ice primordial named Cryonax.|||Destroying the Ring. The ring is nigh indestructible, resisting even the most intense magical heat. If it is placed on the finger of the powerful arch fey known as the Summer Queen, the ring melts away and is destroyed forever."
786,Ruin's Wake,18,"Weapon (spear), artifact (requires attunement)","This spear is made from the ivory bone of an ancient gold dragon and carved with an Ore hymn to Gruumsh.|||Sentience. Ruin's Wake is a sentient chaotic evil weapon with an Intelligence of 20, a Wisdom of 16, and a Charisma of 22. It has hearing and darkvision out to a range of 120 feet.|||The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, and Orc.|||Personality. A slaughter-loving balor named Yarrowish lives within Ruin's Wake. The weapon desires only to draw blood and pushes its wielder to solve problems with violence.|||Dormant. The spear grants the following benefits in its dormant state:|||Awakened. When the spear reaches an awakened state, it gains the following properties:|||Exalted. When the spear reaches an exalted state, it gains the following properties:"
787,Ruinstone,78,"Wondrous item, artifact","A fiery red crystal the size of a human palm.|||Once per day as a bonus action, a villain can activate the ruinstone to undo one deed they have performed. The possibilities here are broad, but in combat it’s simplest to allow them the opportunity to “rewind” one action and take it again, or to reroll a failed saving throw (if it can still take actions).|||Each use of the artifact has a terrible side effect: someone known to the wielder is also erased from reality. After the villain uses the ruinstone, roll a d20: on a 5-20, one of their allies disintegrates, on an 1-4, one of the player characters disintegrates.|||If a creature bound its soul to the ruinstone in the “Thalivar’s Beacon” quest, the artifact explodes when used and the creature who is bound to it disintegrates, disappearing from reality and can only be brought back with a wish spell, or similar magic."
788,Silken Spite,18,"Weapon (rapier), artifact (requires attunement)","The blade of this rapier is made of spider silk. Its onyx pommel is tipped with a ruby cut in the shape of a spider, and the blade carries the blessing of Lolth.|||Sentience. Silken Spite is a sentient chaotic evil weapon with an Intelligence of 13, a Wisdom of 15, and a Charisma of 15. It has hearing and darkvision out to a range of 1 20 feet.|||The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, Elvish, and Undercommon.|||Personality. A murderous yochlol named Sinnafex lives within Silken Spite. The weapon speaks in whispers, pushing its wielder to trust no one and to kill those who cause the slightest personal offense.|||Dormant. The rapier grants the following benefits in its dormant state:|||Awakened. When the rapier reaches an awakened state, it gains the following properties:|||Exalted. When the rapier reaches an exalted state, it gains the following properties:"
789,Staff of the Forgotten One,31,"Staff, artifact (requires attunement by a sorcerer, warlock, or wizard)","This crooked staff is carved from bone and topped with the skull of a forgotten archmage whom Acererak destroyed long ago. Etched into the skull's forehead is Accrerak's rune, which is known on many worlds as a sign of death.|||Beneficial Properties. While the staff is on your person, you gain the following benefits:|||Invoke Curse. The Staff of the Forgotten One has 7 charges and regains 1d4 + 3 expended charges daily at dawn. While holding the staff, you can use an action to expend 1 charge and target one creature you can see within 60 feet of you. The target must succeed on a Constitution saving throw (using your spell save DC) or be cursed. While cursed in this way, the target can't regain hit points and has vulnerability to necrotic damage. A Greater Restoration, Remove Curse, or similar spell ends the curse on the target.|||The Forgotten One. The bodiless life force of a dead archmage empowers the staff and is imprisoned within it. The rune carved into the staff's skull protects Acererak from this spirit's vengeance. Each time a creature other than Acererak expends any of the staff's charges, there is a 50 percent chance that the life force tries to possess the staff wielder. The wielder must succeed on a DC 20 Charisma saving throw or be possessed, becoming an NPC under the DM's control. If the intruding life force is targeted by magic such as a Dispel Evil and Good spell, it becomes trapped in the staff once more. Once it takes control of another creature, the insane spirit of the dead archmage attempts to destroy the staff.|||Destroying the Staff. A creature in possession of the staff can use an action to break it over one knee or a solid surface. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it. Each creature in the area must make a DC 18 Dexterity saving throw, taking 132 (24d10) force damage on a failed save, or half as much damage on a successful one. When the staff is destroyed, the life force of the Forgotten One is released to the afterlife. Where it goes is anyone's guess.|||Casting the staff into a Sphere of Annihilation destroys both the staff and the Life force trapped within it. The staff doesn't explode if destroyed in this manner, but its destruction causes the sphere to be destroyed as well."
790,Stone of Golorr,32,"Wondrous item, artifact (requires attunement)","The Stone of Golorr is a glossy, greenish-gray stone that fits in the palm of your hand. The stone is actually an aboleth named Golorr, transformed by magic into an object.|||Random Properties. The Stone of Golorr has the following properties, determined by rolling on the tables in the ""Artifacts"" section in chapter 7 of the Dungeon Master's Guide:|||Legend Lore. The Stone of Golorr has 3 charges and regains 1d3 expended charges daily at dawn. While holding the stone, you can expend 1 of its charges to cast the Legend Lore spell.|||By using the stone to cast Legend Lore, you communicate directly with the aboleth, and it shares its knowledge with you. The aboleth can't lie to you, but the information it provides is often cryptic or vague.|||The aboleth koows where Lord Neverember's secret vault is located. It also knows that three keys are needed to open the vault and that a gold dragon named Aurinax inhabits the vault and guards its treasures.|||Failed Memory. When your attunement to the Stone of Golorr ends, you must make a DC 16 Wisdom saving throw. On a failed save, you lose all memory of the stone being in your possession and all knowledge imparted by it. A Remove Cursespell cast on you has a 20 percent chance of restoring the lost knowledge and memories, and a Greater Restoration spell does so automatically.|||Sentience. The Stone of Golorr is a sentient lawful evil magic item with an Intelligence or 18, a Wisdom of 15, and a Charisma of 18. It has hearing and darkvision out to a range of 120 feet. It can communicate telepathically with the creature that is attuned to it, as long as that creature understands at least one language. Io addition, the aboleth learns the greatest desires of any creature that communicates telepathically with the stone.|||The Stone of Golorr hungers for information and prefers not to remain in the clutches of any creature for too long. Whenever the stone desires a new owner, it demands to be given to another intelligent creature as quickly as possible. If its demands are ignored, it tries to take control of its owner (see ""Sentient Magic Items"" in chapter 7 of the Dungeon Master's Guide).|||Personality. The Stone of Golorr has an alien intellect that is both domineering and hungry for knowledge. It thinks of itself as an ageless and immortal god.|||Destroying the Stone. While in stone form. the aboleth isn't a creature and isn't subject to effects that target creatures. The Stone of Golorr is immune to all damage. Casting an Antipathy/Sympathy spell on the stone destroys it if the antipathy effect is selected and the spell is directed to repel aberrations. When the spell is cast in this way, the stone transforms into mucus and is destroyed. and Golorr the aboleth appears in an unoccupied space within 30 feet of the stone's remains. The aboleth is incensed by the stone's destruction, and it attacks all other creatures it can see."
791,Sword of Kas,4,"Weapon (longsword), artifact (requires attunement)","When Vecna grew in power, he appointed an evil and ruthless lieutenant, Kas the Bloody Handed, to act as his bodyguard and right hand. This despicable villain served as advisor, warlord, and assassin. His successes earned him Vecna's admiration and a reward: a sword with as dark a pedigree as the man who would wield it.|||For a long time, Kas faithfully served the lich but as Kas's power grew, so did his hubris. His sword urged him to supplant Vecna, so that they could rule the lich's empire in Vecna's stead. Legend says Vecna's destruction came at Kas's hand, but Vecna also wrought his rebellious lieutenant's doom, leaving only Kas's sword behind. The world was made brighter thereby.|||The Sword of Kas is a magic, sentient longsword that grants a +3 bonus to attack and damage rolls made with it. It scores a critical hit on a roll of 19 or 20, and deals an extra 2d10 slashing damage to undead.|||If the sword isn't bathed in blood within 1 minute of being drawn from its scabbard, its wielder must make a DC 15 Charisma saving throw. On a successful save, the wielder take 3d6 psychic damage. On a failed save, the wielder is dominated by the sword, as if by the Dominate Monster spell, and the sword demands that it be bathed in blood. The spell effect ends when the sword's demand is met.|||Random Properties. The Sword of Kas has the following random properties:|||Spirit of Kas. While the sword is on your person, you add a d10 to your initiative at the start of every combat. In addition, when you use an action to attack with the sword, you can transfer some or all of its attack bonus to your Armor Class instead. The adjusted bonuses remain effect until the start of your next turn.|||Spells. While the sword is on your person, you can use an action to cast one of the following spells (save DC 18) from it: Call Lightning, Divine Word, or Finger of Death. Once you use the sword to cast a spell, you can't cast that spell again from it until the next dawn.|||Sentience. The Sword of Kas is a sentient chaotic evil weapon with an Intelligence of 15, a Wisdom of 13, and a Charisma of 16. It has hearing and darkvision out to 2 range of 120 feet.|||The weapon communicates telepathically with its wielder and can speak, read, and understand Common|||Personality. The sword's purpose is to bring ruin to Vecna. Killing Vecna's worshipers, destroying the lich's works, and foiling his machinations all help to fulfill this goal.|||The Sword of Kas also seeks to destroy anyone corrupted by the Eye and Hand of Vecna. The sword's obsession with those artifacts eventually becomes a fixation for its wielder.|||Destroying the Sword. A creature attuned to both the Eye of Vecna and the Hand of Vecna can use the Wish property of those combined artifacts to unmake the Sword of Kas. The creature must cast the Wish spell and make a Charisma check contested by the Charisma check of the sword. The sword must be within 30 feet of the creature, or the spell fails. If the sword wins the contest, nothing happens, and the Wish spell is wasted. If the sword loses the contest, it is destroyed."
792,Sword of Zariel,37,"Weapon (longsword), artifact (requires attunement by a creature the sword deems worthy)","This longsword belonged to the angel Zariel before her fall from grace. Fashioned from celestial steel, it gives off a faint glow and hum. The weapon chooses who can attune to it and who can't. It desires a wielder who embodies bravery and heroism.|||Attunement. The sword allows you to attune to it immediately, without having to take a short rest. The first time you attune to the sword, you are transformed into a heavenly, idealized version of yourself, blessed with otherworldly beauty and a touch of heaven in your heart. Neither magic nor divine intervention can reverse this transformation. Your alignment becomes lawful good, and you gain the following traits:|||Holy Light. The sword sheds bright light in a 5-foot radius and dim light for an additional 5 feet. Fiends find the sword's light disconcerting and painful, even if they can't see it, and have disadvantage on attack rolls made within the weapon's radius of bright light.|||As a bonus action, you can intensify the sword's light, causing it to shed bright light in a 15-foot radius and dim light for an additional 15 feet, or reduce its glow to its normal intensity.|||Random Properties. The sword has 2 minor beneficial properties, each determined by rolling on the Minor Beneficial Properties table in chapter 7 of the Dungeon Master's Guide.|||Searing Radiance. The sword deals an extra 9 (2d8) radiant damage to any creature it hits, or 16 (3d10) radiant damage if you're wielding the weapon with two hands. An evil creature that takes this radiant damage must succeed on a DC 17 Constitution saving throw or be blinded until the end of its next turn.|||Sentience. The Sword of Zariel is a sentient, lawful good item with an Intelligence of 10, a Wisdom of 20, and a Charisma of 18. It has hearing and normal vision out to a range of 30 feet.|||The sword communicates by transmitting emotion to the creature carrying or wielding it.|||Truth Seer. While holding the sword, you gain advantage on all Wisdom (Insight) checks.|||Destroying the Sword. Zariel can destroy the sword simply by grasping it. She couldn't bring herself to do so when she was an angel, but as an archdevil she has no compunction about ridding the multiverse of the weapon. The sword is also destroyed if it's used to shatter the Companion (see ""Shattering the Companion,"" BG:DA, page 154), unless the blade is wielded by an angel of challenge rating 15 or higher, or a good-aligned cleric or paladin of at least 10th level.|||If Zariel is killed for good (that is, if she dies in the Nine Hells), the sword becomes no harder to destroy than a normal longsword.||||||Personality Traits|||d8,Personality Trait|||1,I treat all beings, even enemies, with respect.|||2,I won't tell a lie.|||3,I enjoy sharing my philosophical worldview and experiences with others.|||4,I cut right to the chase in every conversation.|||5,I often quote (or misquote) religious texts.|||6,I anger quickly when I witness cruelty or injustice.|||7,My praise and trust are earned and never given freely.|||8,I like everything clean and organized.|||Ideals|||d6,Ideal|||1,Charity. I always help those in need. (Good)|||2,Faith. I choose to follow the tenants of a particular lawful good deity to the letter. (Lawful)|||3,Responsibility. It is the duty of the strong to protect the weak. (Lawful)|||4,Respect. All people deserve to be treated with dignity. (Good)|||5,Honor. The way I conduct myself determines my reward in the afterlife. (Lawful)|||6,Redemption. All creatures are capable of change for the better. (Good)|||Bonds|||d6,Bonds|||1,I have a favorite religious hymn that I constantly hum.|||2,I must keep a written record of my beliefs and the sins that I witness. When finished, this book will be my gift to the multiverse.|||3,I have cherished memories of Idyllglen, though I've only seen this bucolic town in dreams.|||4,I would die for those who fight beside me, regardless of their faults.|||5,I seek to honor the angel Zariel by destroying fiends and other evildoers wherever I find them.|||6,The Sword of Zariel has chosen me. I shall not fail to wield it justly.|||Flaws|||d6,Flaws|||1,I am too quick to judge others.|||2,I offer forgiveness too readily.|||3,I will sacrifice innocent lives for the greater good.|||4,Flaw? What flaw? I am flawless. Utter perfection!|||5,I allow nothing to stand in the way of my crusade to eradicate evil from the multiverse.|||6,I ignore those who do not support my plans, for my calling is higher than all others.|||"
